id,scheme_name,major_component_name,sub_component_name,activity_master_name,1 Full time Accountant
536,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),Food/Lodging per child per month
537,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),Stipend  per girl per month
538,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),"Supplementary TLM, Stationery and other educational material"
539,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),1 Warden
540,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),1 Head Teacher
541,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),4 - 5 Full Time Teachers
542,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),2 Urdu Teachers
544,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),1 Full Time Accountant
546,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),1 Head Cook
547,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),2 Assistant Cook
548,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),Specific skill training per girl
550,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),Medical care / Contingencies
551,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),Maintenance
552,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),Miscellaneous
554,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),P.T.A.
555,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),Provision of Rent
556,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),Capacity Building
557,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),Physical / Self Defence
558,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type I (Recurring) (Previous Year)  (Classes VI -VIII),Examination Fee
560,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (NR)  (New) (Classes VI -X),Construction of building (new)
561,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (NR)  (New) (Classes VI -X),Boundary Wall
562,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (NR)  (New) (Classes VI -X),Boring/ Handpump
563,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (NR)  (New) (Classes VI -X),Furniture/ Equipment (including kitchen)
564,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (NR)  (New) (Classes VI -X),TLM and equipment including library books
565,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (NR)  (New) (Classes VI -X),Bedding
567,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (Recurring) (New) (Classes VI -X),Food/Lodging per child per month
569,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (Recurring) (New) (Classes VI -X),"Supplementary TLM, Stationery and other educational material"
570,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (Recurring) (New) (Classes VI -X),1 Warden
571,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (Recurring) (New) (Classes VI -X),4 - 5 Full Time Teachers
572,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (Recurring) (New) (Classes VI -X),2 Urdu Teachers
573,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (Recurring) (New) (Classes VI -X),3 Part time teachers
576,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (Recurring) (New) (Classes VI -X),1 Head Cook
577,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (Recurring) (New) (Classes VI -X),2 Assistant Cook
578,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (Recurring) (New) (Classes VI -X),1 Head Teacher
579,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (Recurring) (New) (Classes VI -X),Specific Skill training
581,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (Recurring) (New) (Classes VI -X),Medical care / Contingencies
582,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (Recurring) (New) (Classes VI -X),Maintenance
583,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (Recurring) (New) (Classes VI -X),Miscellaneous
585,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (Recurring) (New) (Classes VI -X),P.T.A.
587,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (Recurring) (New) (Classes VI -X),Capacity Building
588,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (Recurring) (New) (Classes VI -X),Physical / Self Defence
591,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (NR) (Previous Year) (Classes VI -X),Construction of building
592,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (NR) (Previous Year) (Classes VI -X),Boundary Wall
594,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (NR) (Previous Year) (Classes VI -X),Furniture/ Equipment (including kitchen)
595,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (NR) (Previous Year) (Classes VI -X),TLM and equipment including library books
596,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (NR) (Previous Year) (Classes VI -X),Bedding
597,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - II (NR) (Previous Year) (Classes VI -X),Replacement of bedding (once in 3 years)
600,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),Food/Lodging per child per month
602,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),"Supplementary TLM, Stationery and other educational material"
603,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),1 Warden
604,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),4 - 5 Full Time Teachers
605,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),2 Urdu Teachers
606,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),3 Part time teachers
609,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),1 Head Cook
610,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),2 Assistant Cook
611,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),1 Head Teacher
612,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),Specific Skill training
614,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),Medical care / Contingencies
615,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),Maintenance
616,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),Miscellaneous
618,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),P.T.A.
619,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),Provision of Rent
620,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),Capacity Building
621,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),Physical / Self Defence
622,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type II (Recurring)  (Previous Year)  (Classes VI -X),Examination Fee
624,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (NR) (New)  (Classes VI -XII),Construction of building (new) / Upgradation
625,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (NR) (New)  (Classes VI -XII),Boundary Wall
627,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (NR) (New)  (Classes VI -XII),Furniture/ Equipment (including kitchen)
628,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (NR) (New)  (Classes VI -XII),TLM and equipment including library books
629,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (NR) (New)  (Classes VI -XII),Bedding
631,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),Food/Lodging per child per month
633,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),"Supplementary TLM, Stationery and other educational material"
634,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),1 Warden
635,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),2 Urdu Teachers
636,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),3 Part time teachers
638,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),"2 Support Staff - (Accountant / Assistant, Peon, Chowkidar)"
639,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),1 Head Cook
640,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),1 Head Teacher/Principal
641,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),4 Full Time Teachers/Lecturer
642,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),2 Assistant Cook
643,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),Specific skill training per girl
645,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),Medical care / Contingencies
646,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),Maintenance
647,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),Miscellaneous
649,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),P.T.A.
650,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),Provision of Rent
651,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),Capacity Building
652,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),Physical / Self Defence
653,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (Recurring) (New) (Classes VI -XII),Examination Fee
655,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),Construction of building (new) / Upgradation
656,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),Boundary Wall
658,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),Furniture/ Equipment (including kitchen)
659,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),TLM and equipment including library books
660,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),Bedding
661,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),Replacement of bedding (once in 3 years)
662,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type - III (NR) (Previous Year) (Classes VI -XII),Incinerator Machine
664,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),Food/Lodging per child per month
666,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),"Supplementary TLM, Stationery and other educational material"
667,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),1 Warden
668,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),2 Urdu Teachers
669,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),3 Part time teachers
671,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),"2 Support Staff - (Accountant / Assistant, Peon, Chowkidar)"
672,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),1 Head Cook
673,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),2 Assistant Cook
674,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),1 Head Teacher/Principal
675,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),4 Full Time Teachers/Lecturer
676,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),Specific skill training per girl
678,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),Medical care / Contingencies
679,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),Maintenance
680,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),Miscellaneous
682,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),P.T.A.
683,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),Provision of Rent
684,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),Capacity Building
685,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),Physical / Self Defence
686,Elementary Education,Gender & Equity,Kasturba Gandhi Balika Vidyalaya (KGBVs),KGBV - Type III (Recurring) (Previous Year) (Classes VI -XII),Examination Fee
688,Elementary Education,Gender & Equity,Rani Laxmibai Atma Raksha Prashikshan,Rani Laxmibai Atma Raksha Prashikshan (up to Highest Class VIII),Rani Laxmibai Atma Raksha Prashikshan (Upto Class VIII)
690,Elementary Education,Gender & Equity,Special Projects for Equity,Special Projects for Equity - (NR) (Elementary),Incinerator Machines (Elementary)
691,Elementary Education,Gender & Equity,Special Projects for Equity,Special Projects for Equity - (NR) (Elementary),Vending Machines (Elementary)
693,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Pre-Primary) (District Level)  (Recurring),Purchase/Development of  age appropriate TLMs
694,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Pre-Primary) (District Level)  (Recurring),"Orientation of Principals, Pre-Primary teachers, Anganwadi workers, parents / guardians et"
696,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Pre-Primary) (Block Level)  (Recurring),Gap Identification for OoSCwSN
697,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Pre-Primary) (Block Level)  (Recurring),"Assistive Devices,Equipments and TLM"
698,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Pre-Primary) (Block Level)  (Recurring),Helper/Ayas/Attendant
700,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),Escort Allowance
701,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),Transport Allowance
702,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),"Braille Stationary Material (Inc. Embossed Charts, globes etc)"
703,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),Providing Aids & Appliances
704,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Pre-Primary) (Student Specific)  (Recurring),Story tellers for CWSN including the usage of sign language
706,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Stipend for Girls (Pre-Primary) (Recurring),Stipend for Girls (Pre-Primary) (Recurring)
708,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Upto Highest Class - VIII) (District Level)  (Recurring),Purchase/Development of instructional & Training materials
709,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Upto Highest Class - VIII) (District Level)  (Recurring),Sports & Exposure Visit
710,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Upto Highest Class - VIII) (District Level)  (Recurring),Therapeutic Services
711,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Upto Highest Class - VIII) (District Level)  (Recurring),"Orientation of Principals, Educational administrators, parents / guardians etc."
713,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Upto Highest Class - VIII) (Block Level)  (Recurring),Teacher Need Analysis for Training
714,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Upto Highest Class - VIII) (Block Level)  (Recurring),Gap Identification for OoSCwSN
715,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Upto Highest Class - VIII) (Block Level)  (Recurring),"Assistive Devices,Equipments and TLM"
716,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Upto Highest Class - VIII) (Block Level)  (Recurring),Environment Building programme
717,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Upto Highest Class - VIII) (Block Level)  (Recurring),Helper/Ayas/Attendant
719,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Upto Highest Class - VIII) (Student Specific)  (Recurring),Escort Allowance
720,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Upto Highest Class - VIII) (Student Specific)  (Recurring),Transport Allowance
721,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Upto Highest Class - VIII) (Student Specific)  (Recurring),Home Based Education
722,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Upto Highest Class - VIII) (Student Specific)  (Recurring),"Braille Stationary Material (Inc. Embossed Charts, globes etc)"
723,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Upto Highest Class - VIII) (Student Specific)  (Recurring),Providing Aids & Appliances
724,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Student Oriented Components (Upto Highest Class - VIII) (Student Specific)  (Recurring),Reader Allowance- For only VI and Low vision
726,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Stipend for Girls (Upto Highest Class - VIII)  (Recurring),Stipend for Girls (Upto Highest Class - VIII)  (Recurring)
728,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Identification & Assessment (up to Highest Class VIII),Identification and Assessment (Medical Assessment Camps) (Upto Highest Class VIII)
730,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Capacity Building of Special Educators  (up to Highest Class VIII),In-service Training of Special Educators  (Upto Highest Class VIII)
732,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Resource Support towards Salary (Upto Highest Class VIII) (Recurring),Financial Support (Previous Spl. Educators)
733,Elementary Education,Inclusive Education,Provision for Children with Special Needs (CWSN),Resource Support towards Salary (Upto Highest Class VIII) (Recurring),Financial Support (New Spl. Educators )
735,Elementary Education,Sports & Physical Education,Sports & Physical Education,Sports & Physical Education   (upto Highest Class VIII),Sports & Physical Education (Primary Schools )
736,Elementary Education,Sports & Physical Education,Sports & Physical Education,Sports & Physical Education   (upto Highest Class VIII),Sports & Physical Education (Upper Primary Schools )
738,Elementary Education,Monitoring of the Scheme,Monitoring Information System (MIS),Monitoring of the Scheme,Child Tracking System
741,Elementary Education,Monitoring of the Scheme,Monitoring Information System (MIS),Vidya Samiksha Kendra (Recurring),Vidya Samiksha Kendra (Recurring)
742,Elementary Education,Access & Retention,Upgraded Schools,Upgradation of PS to UPS (VI -VIII) NR,Upgradation of PS to UPS (VI -VIII)
743,Elementary Education,Program Management,Program Management (MMMER),Program Management (MMMER),Program Management (MMMER) District Level
744,Elementary Education,Monitoring of the Scheme,Monitoring Information System (MIS),Monitoring of the Scheme,MIS (UDISE +)
750,Secondary Education,Gender & Equity,Special Projects for Equity,Special Projects for Equity - (NR) (Secondary),Sanitary pad Vending  machines & Incinerator
1001,Teacher Education,Teacher Education,Civil Work :Strengthening of physical infrastructure in TEI (SCERTs/DIETs/BITEs),Establishment of Institutions - NR,Construction of DIET Building (Previous Year)
1004,Teacher Education,Teacher Education,Civil Work :Strengthening of physical infrastructure in TEI (SCERTs/DIETs/BITEs),Establishment of Institutions - NR,Construction of  SCERT Building (New)
1005,Teacher Education,Teacher Education,Civil Work :Strengthening of physical infrastructure in TEI (SCERTs/DIETs/BITEs),Establishment of Institutions - NR,Construction of SCERT Building (Previous Year)
1006,Teacher Education,Teacher Education,Civil Work :Strengthening of physical infrastructure in TEI (SCERTs/DIETs/BITEs),Establishment of Special Cells in SCERT - NR,Mathematics
1007,Teacher Education,Teacher Education,Civil Work :Strengthening of physical infrastructure in TEI (SCERTs/DIETs/BITEs),Establishment of Special Cells in SCERT - NR,Language/English Education
1008,Teacher Education,Teacher Education,Civil Work :Strengthening of physical infrastructure in TEI (SCERTs/DIETs/BITEs),Establishment of Special Cells in SCERT - NR,Education Technology/Computer
1009,Teacher Education,Teacher Education,Civil Work :Strengthening of physical infrastructure in TEI (SCERTs/DIETs/BITEs),Establishment of Special Cells in SCERT - NR,Social Studies
1010,Teacher Education,Teacher Education,Civil Work :Strengthening of physical infrastructure in TEI (SCERTs/DIETs/BITEs),Establishment of Special Cells in SCERT - NR,Science
1011,Teacher Education,Teacher Education,Civil Work :Strengthening of physical infrastructure in TEI (SCERTs/DIETs/BITEs),Strengthening of Physical Infrastructure for New Construction and Expansion of existing TEIs - NR,DIETs
1012,Teacher Education,Teacher Education,Civil Work :Strengthening of physical infrastructure in TEI (SCERTs/DIETs/BITEs),Strengthening of Physical Infrastructure for New Construction and Expansion of existing TEIs - NR,BITEs
